dataset of size: 100000

epoch [200/500], loss:0.0077
epoch [201/500], loss:0.0064
epoch [202/500], loss:0.0065
epoch [203/500], loss:0.0073
epoch [204/500], loss:0.0081
epoch [205/500], loss:0.0064
epoch [206/500], loss:0.0068
epoch [207/500], loss:0.0075
epoch [208/500], loss:0.0080
epoch [209/500], loss:0.0057
epoch [210/500], loss:0.0092
epoch [211/500], loss:0.0081
epoch [212/500], loss:0.0068
epoch [213/500], loss:0.0085
epoch [214/500], loss:0.0089
epoch [215/500], loss:0.0077
epoch [216/500], loss:0.0090
epoch [217/500], loss:0.0075
epoch [218/500], loss:0.0091
epoch [219/500], loss:0.0088
epoch [220/500], loss:0.0069
epoch [221/500], loss:0.0101
epoch [222/500], loss:0.0092
epoch [223/500], loss:0.0096
epoch [224/500], loss:0.0102
epoch [225/500], loss:0.0073
epoch [226/500], loss:0.0092
epoch [227/500], loss:0.0083
epoch [228/500], loss:0.0076
epoch [229/500], loss:0.0066
epoch [230/500], loss:0.0089
epoch [231/500], loss:0.0062
epoch [232/500], loss:0.0074
epoch [233/500], loss:0.0085
epoch [234/500], loss:0.0068
epoch [235/500], loss:0.0069
epoch [236/500], loss:0.0086
epoch [237/500], loss:0.0086
epoch [238/500], loss:0.0072
epoch [239/500], loss:0.0071
epoch [240/500], loss:0.0070
epoch [241/500], loss:0.0089
epoch [242/500], loss:0.0087
epoch [243/500], loss:0.0089
epoch [244/500], loss:0.0073
epoch [245/500], loss:0.0077
epoch [246/500], loss:0.0094
epoch [247/500], loss:0.0083
epoch [248/500], loss:0.0077
epoch [249/500], loss:0.0070
epoch [250/500], loss:0.0072
epoch [251/500], loss:0.0086
epoch [252/500], loss:0.0075
epoch [253/500], loss:0.0075
epoch [254/500], loss:0.0085
epoch [255/500], loss:0.0066
epoch [256/500], loss:0.0055
epoch [257/500], loss:0.0081
epoch [258/500], loss:0.0088
epoch [259/500], loss:0.0064
epoch [260/500], loss:0.0078
epoch [261/500], loss:0.0075
epoch [262/500], loss:0.0068
epoch [263/500], loss:0.0078
epoch [264/500], loss:0.0077
epoch [265/500], loss:0.0090
epoch [266/500], loss:0.0061
epoch [267/500], loss:0.0065
epoch [268/500], loss:0.0076
epoch [269/500], loss:0.0087
epoch [270/500], loss:0.0077
epoch [271/500], loss:0.0074
epoch [272/500], loss:0.0078
epoch [273/500], loss:0.0071
epoch [274/500], loss:0.0083
epoch [275/500], loss:0.0084
epoch [276/500], loss:0.0070
epoch [277/500], loss:0.0067
epoch [278/500], loss:0.0077
epoch [279/500], loss:0.0070
epoch [280/500], loss:0.0071
epoch [281/500], loss:0.0084
epoch [282/500], loss:0.0073
epoch [283/500], loss:0.0089
epoch [284/500], loss:0.0098
epoch [285/500], loss:0.0077
epoch [286/500], loss:0.0058
epoch [287/500], loss:0.0087
epoch [288/500], loss:0.0077
epoch [289/500], loss:0.0079
epoch [290/500], loss:0.0069
epoch [291/500], loss:0.0078
epoch [292/500], loss:0.0092
epoch [293/500], loss:0.0067
epoch [294/500], loss:0.0076
epoch [295/500], loss:0.0076
epoch [296/500], loss:0.0089
epoch [297/500], loss:0.0068
epoch [298/500], loss:0.0086
epoch [299/500], loss:0.0084
epoch [300/500], loss:0.0065
epoch [301/500], loss:0.0094
epoch [302/500], loss:0.0070
epoch [303/500], loss:0.0058
epoch [304/500], loss:0.0078
epoch [305/500], loss:0.0061
epoch [306/500], loss:0.0069
epoch [307/500], loss:0.0078
epoch [308/500], loss:0.0080
epoch [309/500], loss:0.0077
epoch [310/500], loss:0.0073
epoch [311/500], loss:0.0056
epoch [312/500], loss:0.0087
epoch [313/500], loss:0.0055
epoch [314/500], loss:0.0077
epoch [315/500], loss:0.0072
epoch [316/500], loss:0.0060
epoch [317/500], loss:0.0079
epoch [318/500], loss:0.0085
epoch [319/500], loss:0.0097
epoch [320/500], loss:0.0083
epoch [321/500], loss:0.0072
epoch [322/500], loss:0.0075
epoch [323/500], loss:0.0070
epoch [324/500], loss:0.0097
epoch [325/500], loss:0.0082
epoch [326/500], loss:0.0072
epoch [327/500], loss:0.0086
epoch [328/500], loss:0.0076
epoch [329/500], loss:0.0075
epoch [330/500], loss:0.0080
epoch [331/500], loss:0.0062
epoch [332/500], loss:0.0061
epoch [333/500], loss:0.0090
epoch [334/500], loss:0.0085
epoch [335/500], loss:0.0089
epoch [336/500], loss:0.0063
epoch [337/500], loss:0.0083
epoch [338/500], loss:0.0081
epoch [339/500], loss:0.0069
epoch [340/500], loss:0.0080
epoch [341/500], loss:0.0083
epoch [342/500], loss:0.0084
epoch [343/500], loss:0.0066
epoch [344/500], loss:0.0079
epoch [345/500], loss:0.0087
epoch [346/500], loss:0.0081
epoch [347/500], loss:0.0078
epoch [348/500], loss:0.0069
epoch [349/500], loss:0.0074
epoch [350/500], loss:0.0083
epoch [351/500], loss:0.0080
epoch [352/500], loss:0.0093
epoch [353/500], loss:0.0068
epoch [354/500], loss:0.0066
epoch [355/500], loss:0.0068
epoch [356/500], loss:0.0067
epoch [357/500], loss:0.0073
epoch [358/500], loss:0.0077
epoch [359/500], loss:0.0083
epoch [360/500], loss:0.0074
epoch [361/500], loss:0.0086
